City,Lat,Lng,Maxtemp,Humidity,Cloudiness,Wind Speed,Country,Date
Fort Nelson,58.8053,-122.7002,42.39,52,75,3.44,CA,1651267925
Lakes Entrance,-37.8811,147.981,53.17,87,100,17.27,AU,1651267925
Houma,29.5958,-90.7195,84.0,51,0,9.22,US,1651267603
Belyy Yar,53.6039,91.3903,48.09,53,0,8.95,RU,1651267926
Diffa,13.3154,12.6113,87.19,35,61,9.82,NE,1651267927
Kavaratti,10.5669,72.642,85.01,76,85,11.07,IN,1651267927
Vardø,70.3705,31.1107,27.7,74,99,21.41,NO,1651267928
Saint-Pierre,-21.3393,55.4781,75.29,78,0,5.75,RE,1651267928
Valle de Santiago,20.3833,-101.2,89.82,11,7,7.38,MX,1651267929
Victor Harbor,-35.5667,138.6167,55.69,76,0,9.93,AU,1651267930
Saint-Philippe,-21.3585,55.7679,75.22,83,54,14.25,RE,1651267930
Mahon,39.8885,4.2658,54.16,82,0,8.05,ES,1651267931
Chapais,49.7834,-74.8492,42.58,67,10,9.42,CA,1651267931
Kieta,-6.2167,155.6333,82.98,72,100,2.37,PG,1651267932
Alofi,-19.0595,-169.9187,84.09,79,71,11.5,NU,1651267932
Pochutla,15.7432,-96.4661,90.82,44,53,10.02,MX,1651267933
Saint-Louis,16.3333,-15.0,94.64,19,0,16.37,SN,1651267933
Kruisfontein,-34.0033,24.7314,57.88,81,4,15.39,ZA,1651267934
Santa Cruz de la Sierra,-17.8,-63.1667,72.86,78,75,16.11,BO,1651267934
Thinadhoo,0.5333,72.9333,85.24,70,85,9.89,MV,1651267935
Banjar,-8.19,114.9675,77.34,90,68,5.17,ID,1651267935
Auch,43.65,0.5833,64.26,88,100,3.0,FR,1651267936
Chicama,-7.8447,-79.1469,63.14,71,76,8.95,PE,1651267936
Kaeo,-35.1,173.7833,59.32,97,39,12.75,NZ,1651267937
Tarko-Sale,64.9225,77.785,6.03,99,37,7.25,RU,1651267937
Escárcega,18.6089,-90.7454,93.45,40,43,2.35,MX,1651267649
Yulara,-25.2406,130.9889,60.64,63,98,11.5,AU,1651267938
Wajima,37.4,136.9,49.78,64,24,10.09,JP,1651267939
Shache,38.4167,77.2406,66.7,27,30,7.36,CN,1651267940
Biak,-0.9131,122.8766,76.17,85,76,4.41,ID,1651267940
Emet,39.343,29.2585,54.48,93,99,3.76,TR,1651267941
Muncar,-8.4333,114.3333,76.87,92,52,2.55,ID,1651267941
Kahului,20.8947,-156.47,84.22,58,40,23.02,US,1651267942
Shawville,45.6001,-76.4827,56.86,41,0,10.33,CA,1651267942
Kibala,9.1104,18.3463,87.75,51,0,9.22,TD,1651267943
Palauig,15.435,119.9045,81.99,71,100,3.38,PH,1651267943
Taszár,46.3747,17.9059,52.48,61,100,4.25,HU,1651267944
Beringovskiy,63.05,179.3167,31.62,96,100,13.65,RU,1651267944
Gari,59.4307,62.3497,28.35,74,51,5.14,RU,1651267945
Byron Bay,-28.65,153.6167,66.09,84,73,2.21,AU,1651267945
Nichinan,31.6,131.3667,53.28,75,45,9.57,JP,1651267946
Olafsvik,64.8945,-23.7142,45.0,92,50,7.94,IS,1651267946
Teykovo,56.858,40.5369,37.8,85,100,7.83,RU,1651267947
Sinnamary,5.3833,-52.95,79.43,84,87,12.68,GF,1651267947
Nālūt,30.3333,10.85,73.26,22,56,23.91,LY,1651267948
Flin Flon,54.7682,-101.865,49.84,53,40,4.61,CA,1651267949
Nanortalik,60.1432,-45.2371,38.44,85,95,4.56,GL,1651267949
Usol'ye-Sibirskoye,52.7519,103.6453,40.19,83,97,2.77,RU,1651267950
Mt. Pleasant,32.7941,-79.8626,77.0,54,0,8.05,US,1651267950
Ţahţā,26.7693,31.5021,89.29,10,13,5.14,EG,1651267951
Tadine,-21.55,167.8833,72.91,77,100,22.21,NC,1651267951
Seymchan,62.8833,152.4333,22.19,82,50,5.19,RU,1651267952
Puurmani,58.5738,26.2878,39.42,85,19,4.74,EE,1651267952
Tezu,27.9167,96.1667,69.04,80,100,4.68,IN,1651267953
La Reforma,25.0833,-108.05,83.95,39,0,14.61,MX,1651267954
Japura,-0.3167,102.35,72.84,97,100,2.75,ID,1651267954
Chumikan,54.7183,135.315,30.49,76,98,6.2,RU,1651267955
Husavik,66.0449,-17.3389,46.72,73,30,3.51,IS,1651267955
Marsh Harbour,26.5412,-77.0636,74.19,71,88,23.15,BS,1651267955
Tsabong,-26.0217,22.401,65.37,63,38,7.45,BW,1651267956
Carutapera,-1.195,-46.02,77.29,88,100,5.79,BR,1651267957
Pueblo,38.2545,-104.6091,72.36,11,0,7.0,US,1651267908
Vestmannaeyjar,63.4427,-20.2734,47.79,84,36,13.38,IS,1651267957
Cabo San Lucas,22.8909,-109.9124,90.61,21,0,9.22,MX,1651267868
Tual,-5.6667,132.75,84.27,71,100,15.37,ID,1651267958
Ketchikan,55.3422,-131.6461,54.07,43,20,8.05,US,1651267958
Pompéia,-22.1086,-50.1717,74.77,61,31,6.51,BR,1651267959
Merta,26.65,74.0333,84.52,33,0,12.1,IN,1651267959
Muna,20.4833,-89.7167,87.4,47,90,2.3,MX,1651267960
Kosd,47.8079,19.1782,51.15,65,42,1.21,HU,1651267961
Hokitika,-42.7167,170.9667,57.06,72,39,3.58,NZ,1651267961
Isangel,-19.55,169.2667,75.31,78,100,11.5,VU,1651267961
Gioia Tauro,38.424,15.899,64.08,69,88,2.93,IT,1651267962
Yar-Sale,66.8333,70.8333,19.63,83,25,15.12,RU,1651267963
St. George's,12.0564,-61.7485,83.88,79,20,23.02,GD,1651267963
Souillac,-20.5167,57.5167,71.98,88,20,2.3,MU,1651267964
Port Lincoln,-34.7333,135.8667,61.32,57,90,11.54,AU,1651267964
Richards Bay,-28.783,32.0377,68.95,81,48,10.36,ZA,1651267965
Qasigiannguit,68.8193,-51.1922,17.85,74,100,21.92,GL,1651267965
Aquiraz,-3.9014,-38.3911,83.17,84,95,6.26,BR,1651267966
Antiguo Morelos,22.5495,-99.0812,91.45,40,0,9.95,MX,1651267966
Brae,60.3964,-1.353,43.84,71,59,2.66,GB,1651267966
São João da Barra,-21.6403,-41.0511,78.89,82,4,6.58,BR,1651267967
Bilma,18.6853,12.9164,89.55,7,86,8.01,NE,1651267968
Plaster Rock,46.9065,-67.39,36.12,92,100,11.54,CA,1651267885
Nome,64.5011,-165.4064,41.11,70,0,17.27,US,1651267968
Hirara,24.8,125.2833,74.77,83,100,13.89,JP,1651267969
Jining,35.405,116.5814,52.27,79,100,3.94,CN,1651267969
Nogales,31.3086,-110.9422,81.72,7,0,8.05,MX,1651267970
Coquimbo,-29.9533,-71.3436,58.73,82,40,12.66,CL,1651267912
Arrifes,37.7667,-25.7,61.05,100,75,8.05,PT,1651267970
Bowen,-20.0167,148.2333,72.72,85,22,8.84,AU,1651267971
Jérémie,18.65,-74.1167,78.06,75,100,4.65,HT,1651267971
Roald,62.5833,6.1333,45.75,87,75,10.36,NO,1651267972
Sedlčany,49.6606,14.4266,51.28,80,42,3.04,CZ,1651267972
San Francisco,37.7749,-122.4194,76.75,52,75,20.71,US,1651267297
Isiro,2.7739,27.616,65.19,99,100,2.95,CD,1651267973
Saldanha,-33.0117,17.9442,60.03,85,77,3.56,ZA,1651267973
Tura,25.5198,90.2201,68.25,85,0,3.47,IN,1651267974
Russell,32.3502,-85.1999,81.68,36,75,6.91,US,1651267974
Geraldton,-28.7667,114.6,61.21,51,0,18.41,AU,1651267975
Talnakh,69.4865,88.3972,-2.15,94,83,2.44,RU,1651267975
Kununurra,-15.7667,128.7333,73.38,88,66,1.14,AU,1651267878
Talakan,50.3167,130.3667,41.72,53,100,5.48,RU,1651267976
Necochea,-38.5473,-58.7368,50.02,55,92,8.7,AR,1651267706
Amapá,1.0,-52.0,74.26,99,100,2.17,BR,1651267977
Surgut,61.25,73.4167,30.38,74,40,8.95,RU,1651267977
Skjervøy,70.0311,20.9714,28.4,62,100,18.45,NO,1651267978
Devils Lake,48.1128,-98.8651,42.91,93,100,17.27,US,1651267976
Havre-St-Pierre,50.2334,-63.5986,37.76,81,100,17.27,CA,1651267979
Kuloy,61.0305,42.4925,29.89,92,99,3.85,RU,1651267979
Rosarito,32.3333,-117.0333,74.25,61,0,7.45,MX,1651267980
Bismarck,46.8083,-100.7837,42.87,92,40,13.8,US,1651267981
Alice Springs,-23.7,133.8833,62.15,82,100,10.36,AU,1651267810
Marawi,7.9986,124.2928,69.4,95,95,1.39,PH,1651267981
Reading,51.4562,-0.9711,47.91,73,17,4.97,GB,1651267805
Ust'-Koksa,50.2696,85.6108,40.68,69,87,2.28,RU,1651267982
Māngrol,21.1167,70.1167,81.84,80,0,9.08,IN,1651267982
Panubigan,7.4281,123.3466,77.99,84,98,3.36,PH,1651267983
Xifeng,42.7372,124.7222,43.79,46,23,12.62,CN,1651267984
Baijiantan,45.6333,85.1833,59.02,21,0,8.99,CN,1651267984
Bousso,10.4795,16.7117,88.86,44,67,8.46,TD,1651267985
Hailey,43.5196,-114.3153,51.66,30,75,3.44,US,1651267746
Ca Mau,9.1769,105.15,75.85,90,100,1.77,VN,1651267985
Fukuechō,32.6881,128.8419,58.21,71,78,24.76,JP,1651267986
Narsaq,60.9167,-46.05,50.22,78,90,3.33,GL,1651267987
Ughelli,5.4899,6.0074,76.59,89,100,0.98,NG,1651267987
Bonfim,3.0833,-59.95,84.67,63,93,4.12,BR,1651267988
Valday,57.9747,33.2525,28.78,90,100,4.5,RU,1651267988
Prado,-17.3411,-39.2208,75.63,82,7,6.15,BR,1651267989
Miura,35.14,139.6192,51.1,69,38,23.82,JP,1651267990
Muros,42.7762,-9.0603,60.67,76,5,4.07,ES,1651267990
Sørland,67.667,12.6934,38.23,78,98,23.11,NO,1651267990
‘Ewa Beach,21.3156,-158.0072,82.35,56,40,14.97,US,1651267761
Ostrovnoy,68.0531,39.5131,25.0,89,97,17.0,RU,1651267991
Lensk,60.7253,114.9278,35.64,99,100,5.03,RU,1651267992
Jvari,42.7169,42.052,56.55,91,66,3.24,GE,1651267992
Aksha,50.2814,113.2867,30.42,43,66,3.98,RU,1651267993
